"","country","year","demo_score"
"1","Afghanistan","1800",-6
"2","Afghanistan","1801",-6
"3","Afghanistan","1802",-6
"4","Afghanistan","1803",-6
"5","Afghanistan","1804",-6
"6","Afghanistan","1805",-6
"7","Afghanistan","1806",-6
"8","Afghanistan","1807",-6
"9","Afghanistan","1808",-6
"10","Afghanistan","1809",-6
"11","Afghanistan","1810",-6
"12","Afghanistan","1811",-6
"13","Afghanistan","1812",-6
"14","Afghanistan","1813",-6
"15","Afghanistan","1814",-6
"16","Afghanistan","1815",-6
"17","Afghanistan","1816",-6
"18","Afghanistan","1817",-6
"19","Afghanistan","1818",-6
"20","Afghanistan","1819",-6
"21","Afghanistan","1820",-6
"22","Afghanistan","1821",-6
"23","Afghanistan","1822",-6
"24","Afghanistan","1823",-6
"25","Afghanistan","1824",-6
"26","Afghanistan","1825",-6
"27","Afghanistan","1826",-6
"28","Afghanistan","1827",-6
"29","Afghanistan","1828",-6
"30","Afghanistan","1829",-6
"31","Afghanistan","1830",-6
"32","Afghanistan","1831",-6
"33","Afghanistan","1832",-6
"34","Afghanistan","1833",-6
"35","Afghanistan","1834",-6
"36","Afghanistan","1835",-6
"37","Afghanistan","1836",-6
"38","Afghanistan","1837",-6
"39","Afghanistan","1838",-6
"40","Afghanistan","1839",-6
"41","Afghanistan","1840",-6
"42","Afghanistan","1841",-6
"43","Afghanistan","1842",-6
"44","Afghanistan","1843",-6
"45","Afghanistan","1844",-6
"46","Afghanistan","1845",-6
"47","Afghanistan","1846",-6
"48","Afghanistan","1847",-6
"49","Afghanistan","1848",-6
"50","Afghanistan","1849",-6
"51","Afghanistan","1850",-6
"52","Afghanistan","1851",-6
"53","Afghanistan","1852",-6
"54","Afghanistan","1853",-6
"55","Afghanistan","1854",-6
"56","Afghanistan","1855",-6
"57","Afghanistan","1856",-6
"58","Afghanistan","1857",-6
"59","Afghanistan","1858",-6
"60","Afghanistan","1859",-6
"61","Afghanistan","1860",-6
"62","Afghanistan","1861",-6
"63","Afghanistan","1862",-6
"64","Afghanistan","1863",-6
"65","Afghanistan","1864",-6
"66","Afghanistan","1865",-6
"67","Afghanistan","1866",-6
"68","Afghanistan","1867",-6
"69","Afghanistan","1868",-6
"70","Afghanistan","1869",-6
"71","Afghanistan","1870",-6
"72","Afghanistan","1871",-6
"73","Afghanistan","1872",-6
"74","Afghanistan","1873",-6
"75","Afghanistan","1874",-6
"76","Afghanistan","1875",-6
"77","Afghanistan","1876",-6
"78","Afghanistan","1877",-6
"79","Afghanistan","1878",-6
"80","Afghanistan","1879",-6
"81","Afghanistan","1880",-6
"82","Afghanistan","1881",-6
"83","Afghanistan","1882",-6
"84","Afghanistan","1883",-6
"85","Afghanistan","1884",-6
"86","Afghanistan","1885",-6
"87","Afghanistan","1886",-6
"88","Afghanistan","1887",-6
"89","Afghanistan","1888",-6
"90","Afghanistan","1889",-6
"91","Afghanistan","1890",-6
"92","Afghanistan","1891",-6
"93","Afghanistan","1892",-6
"94","Afghanistan","1893",-6
"95","Afghanistan","1894",-6
"96","Afghanistan","1895",-6
"97","Afghanistan","1896",-6
"98","Afghanistan","1897",-6
"99","Afghanistan","1898",-6
"100","Afghanistan","1899",-6
