"","X","country","year","demo_score","gdp"
"1",663,"Australia",1901,10,"6398"
"2",664,"Australia",1902,10,"6372"
"3",665,"Australia",1903,10,"6796"
"4",666,"Australia",1904,10,"7161"
"5",667,"Australia",1905,10,"7141"
"6",668,"Australia",1906,10,"7518"
"7",669,"Australia",1907,10,"7701"
"8",670,"Australia",1908,10,"7830"
"9",671,"Australia",1909,10,"8311"
"10",672,"Australia",1910,10,"8695"
"11",673,"Australia",1911,10,"8509"
"12",674,"Australia",1912,10,"8491"
"13",675,"Australia",1913,10,"8579"
"14",676,"Australia",1914,10,"8353"
"15",677,"Australia",1915,10,"8128"
"16",678,"Australia",1916,10,"8089"
"17",679,"Australia",1917,10,"7936"
"18",680,"Australia",1918,10,"7613"
"19",681,"Australia",1919,10,"7793"
"20",682,"Australia",1920,10,"7867"
"21",683,"Australia",1921,10,"8100"
"22",684,"Australia",1922,10,"8345"
"23",685,"Australia",1923,10,"8549"
"24",686,"Australia",1924,10,"8913"
"25",687,"Australia",1925,10,"9129"
"26",688,"Australia",1926,10,"9155"
"27",689,"Australia",1927,10,"9101"
"28",690,"Australia",1928,10,"8944"
"29",691,"Australia",1929,10,"8628"
"30",692,"Australia",1930,10,"7714"
"31",693,"Australia",1931,10,"7129"
"32",694,"Australia",1932,10,"7469"
"33",695,"Australia",1933,10,"7921"
"34",696,"Australia",1934,10,"8272"
"35",697,"Australia",1935,10,"8689"
"36",698,"Australia",1936,10,"9010"
"37",699,"Australia",1937,10,"9381"
"38",700,"Australia",1938,10,"9607"
"39",701,"Australia",1939,10,"9537"
"40",702,"Australia",1940,10,"10057"
"41",703,"Australia",1941,10,"11069"
"42",704,"Australia",1942,10,"12236"
"43",705,"Australia",1943,10,"12555"
"44",706,"Australia",1944,10,"11997"
"45",707,"Australia",1945,10,"11270"
"46",708,"Australia",1946,10,"10744"
"47",709,"Australia",1947,10,"10856"
"48",710,"Australia",1948,10,"11349"
"49",711,"Australia",1949,10,"11788"
"50",712,"Australia",1950,10,"12073"
"51",713,"Australia",1951,10,"12229"
"52",714,"Australia",1952,10,"12084"
"53",715,"Australia",1953,10,"12228"
"54",716,"Australia",1954,10,"12694"
"55",717,"Australia",1955,10,"13082"
"56",718,"Australia",1956,10,"13217"
"57",719,"Australia",1957,10,"13191"
"58",720,"Australia",1958,10,"13545"
"59",721,"Australia",1959,10,"14076"
"60",722,"Australia",1960,10,"14346"
"61",723,"Australia",1961,10,"14126"
"62",724,"Australia",1962,10,"14742"
"63",725,"Australia",1963,10,"15357"
"64",726,"Australia",1964,10,"16098"
"65",727,"Australia",1965,10,"16601"
"66",728,"Australia",1966,10,"16756"
"67",729,"Australia",1967,10,"17570"
"68",730,"Australia",1968,10,"18261"
"69",731,"Australia",1969,10,"18949"
"70",732,"Australia",1970,10,"19719"
"71",733,"Australia",1971,10,"20176"
"72",734,"Australia",1972,10,"20385"
"73",735,"Australia",1973,10,"21185"
"74",736,"Australia",1974,10,"21383"
"75",737,"Australia",1975,10,"21708"
"76",738,"Australia",1976,10,"22372"
"77",739,"Australia",1977,10,"22373"
"78",740,"Australia",1978,10,"22763"
"79",741,"Australia",1979,10,"23697"
"80",742,"Australia",1980,10,"23872"
"81",743,"Australia",1981,10,"24308"
"82",744,"Australia",1982,10,"23884"
"83",745,"Australia",1983,10,"23584"
"84",746,"Australia",1984,10,"24934"
"85",747,"Australia",1985,10,"25875"
"86",748,"Australia",1986,10,"26057"
"87",749,"Australia",1987,10,"26969"
"88",750,"Australia",1988,10,"27757"
"89",751,"Australia",1989,10,"28556"
"90",752,"Australia",1990,10,"28604"
"91",753,"Australia",1991,10,"28122"
"92",754,"Australia",1992,10,"27895"
"93",755,"Australia",1993,10,"28732"
"94",756,"Australia",1994,10,"29580"
"95",757,"Australia",1995,10,"30359"
"96",758,"Australia",1996,10,"31145"
"97",759,"Australia",1997,10,"32013"
"98",760,"Australia",1998,10,"33085"
"99",761,"Australia",1999,10,"34346"
"100",762,"Australia",2000,10,"35253"
"101",763,"Australia",2001,10,"35452"
"102",764,"Australia",2002,10,"36375"
"103",765,"Australia",2003,10,"37035"
"104",766,"Australia",2004,10,"38130"
"105",767,"Australia",2005,10,"38840"
"106",768,"Australia",2006,10,"39416"
"107",769,"Australia",2007,10,"40643"
"108",770,"Australia",2008,10,"41312"
"109",771,"Australia",2009,10,"41170"
"110",772,"Australia",2010,10,"41330"
"111",773,"Australia",2011,10,"41706"
"112",2016,"Brazil",1824,-6,"1122"
"113",2017,"Brazil",1825,-6,"1124"
"114",2018,"Brazil",1826,-6,"1126"
"115",2019,"Brazil",1827,-6,"1129"
"116",2020,"Brazil",1828,-6,"1131"
"117",2021,"Brazil",1829,-6,"1134"
"118",2022,"Brazil",1830,-6,"1136"
"119",2023,"Brazil",1831,-6,"1138"
"120",2024,"Brazil",1832,-6,"1141"
"121",2025,"Brazil",1833,-6,"1143"
"122",2026,"Brazil",1834,-6,"1146"
"123",2027,"Brazil",1835,-6,"1148"
"124",2028,"Brazil",1836,-6,"1151"
"125",2029,"Brazil",1837,-6,"1153"
"126",2030,"Brazil",1838,-6,"1155"
"127",2031,"Brazil",1839,-6,"1158"
"128",2032,"Brazil",1840,-6,"1160"
"129",2033,"Brazil",1841,-6,"1163"
"130",2034,"Brazil",1842,-6,"1165"
"131",2035,"Brazil",1843,-6,"1168"
"132",2036,"Brazil",1844,-6,"1170"
"133",2037,"Brazil",1845,-6,"1173"
"134",2038,"Brazil",1846,-6,"1175"
"135",2039,"Brazil",1847,-6,"1178"
"136",2040,"Brazil",1848,-6,"1180"
"137",2041,"Brazil",1849,-6,"1183"
"138",2042,"Brazil",1850,-6,"1185"
"139",2043,"Brazil",1851,-6,"1267"
"140",2044,"Brazil",1852,-6,"1233"
"141",2045,"Brazil",1853,-6,"1157"
"142",2046,"Brazil",1854,-6,"1118"
"143",2047,"Brazil",1855,-6,"1129"
"144",2048,"Brazil",1856,-6,"1170"
"145",2049,"Brazil",1857,-6,"1252"
"146",2050,"Brazil",1858,-6,"1333"
"147",2051,"Brazil",1859,-6,"1323"
"148",2052,"Brazil",1860,-6,"1358"
"149",2053,"Brazil",1861,-6,"1346"
"150",2054,"Brazil",1862,-6,"1282"
"151",2055,"Brazil",1863,-6,"1311"
"152",2056,"Brazil",1864,-6,"1330"
"153",2057,"Brazil",1865,-6,"1429"
"154",2058,"Brazil",1866,-6,"1481"
"155",2059,"Brazil",1867,-6,"1604"
"156",2060,"Brazil",1868,-6,"1604"
"157",2061,"Brazil",1869,-6,"1605"
"158",2062,"Brazil",1870,-6,"1488"
"159",2063,"Brazil",1871,-6,"1488"
"160",2064,"Brazil",1872,-6,"1540"
"161",2065,"Brazil",1873,-6,"1494"
"162",2066,"Brazil",1874,-6,"1518"
"163",2067,"Brazil",1875,-6,"1541"
"164",2068,"Brazil",1876,-6,"1483"
"165",2069,"Brazil",1877,-6,"1442"
"166",2070,"Brazil",1878,-6,"1512"
"167",2071,"Brazil",1879,-6,"1525"
"168",2072,"Brazil",1880,-6,"1455"
"169",2073,"Brazil",1881,-6,"1467"
"170",2074,"Brazil",1882,-6,"1503"
"171",2075,"Brazil",1883,-6,"1462"
"172",2076,"Brazil",1884,-6,"1561"
"173",2077,"Brazil",1885,-6,"1450"
"174",2078,"Brazil",1886,-6,"1497"
"175",2079,"Brazil",1887,-6,"1398"
"176",2080,"Brazil",1888,-6,"1345"
"177",2081,"Brazil",1889,-3,"1364"
"178",2082,"Brazil",1890,-3,"1492"
"179",2083,"Brazil",1891,-3,"1586"
"180",2084,"Brazil",1892,-3,"1375"
"181",2085,"Brazil",1893,-3,"1170"
"182",2086,"Brazil",1894,-3,"1171"
"183",2087,"Brazil",1895,-3,"1388"
"184",2088,"Brazil",1896,-3,"1260"
"185",2089,"Brazil",1897,-3,"1241"
"186",2090,"Brazil",1898,-3,"1271"
"187",2091,"Brazil",1899,-3,"1248"
"188",2092,"Brazil",1900,-3,"1201"
"189",2093,"Brazil",1901,-3,"1354"
"190",2094,"Brazil",1902,-3,"1315"
"191",2095,"Brazil",1903,-3,"1318"
"192",2096,"Brazil",1904,-3,"1301"
"193",2097,"Brazil",1905,-3,"1322"
"194",2098,"Brazil",1906,-3,"1456"
"195",2099,"Brazil",1907,-3,"1445"
"196",2100,"Brazil",1908,-3,"1369"
"197",2101,"Brazil",1909,-3,"1475"
"198",2102,"Brazil",1910,-3,"1487"
"199",2103,"Brazil",1911,-3,"1533"
"200",2104,"Brazil",1912,-3,"1592"
"201",2105,"Brazil",1913,-3,"1598"
"202",2106,"Brazil",1914,-3,"1531"
"203",2107,"Brazil",1915,-3,"1498"
"204",2108,"Brazil",1916,-3,"1471"
"205",2109,"Brazil",1917,-3,"1571"
"206",2110,"Brazil",1918,-3,"1492"
"207",2111,"Brazil",1919,-3,"1569"
"208",2112,"Brazil",1920,-3,"1722"
"209",2113,"Brazil",1921,-3,"1702"
"210",2114,"Brazil",1922,-3,"1785"
"211",2115,"Brazil",1923,-3,"1879"
"212",2116,"Brazil",1924,-3,"1853"
"213",2117,"Brazil",1925,-3,"1797"
"214",2118,"Brazil",1926,-3,"1834"
"215",2119,"Brazil",1927,-3,"1977"
"216",2120,"Brazil",1928,-3,"2143"
"217",2121,"Brazil",1929,-3,"2099"
"218",2122,"Brazil",1930,-4,"1998"
"219",2123,"Brazil",1931,-5,"1870"
"220",2124,"Brazil",1932,-6,"1896"
"221",2125,"Brazil",1933,-6,"2012"
"222",2126,"Brazil",1934,-7,"2133"
"223",2127,"Brazil",1935,-7,"2137"
"224",2128,"Brazil",1936,-7,"2330"
"225",2129,"Brazil",1937,-7,"2370"
"226",2130,"Brazil",1938,-7,"2407"
"227",2131,"Brazil",1939,-7,"2397"
"228",2132,"Brazil",1940,-7,"2308"
"229",2133,"Brazil",1941,-7,"2351"
"230",2134,"Brazil",1942,-7,"2214"
"231",2135,"Brazil",1943,-7,"2337"
"232",2136,"Brazil",1944,-7,"2451"
"233",2137,"Brazil",1945,0,"2457"
"234",2138,"Brazil",1946,7,"2662"
"235",2139,"Brazil",1947,5,"2643"
"236",2140,"Brazil",1948,5,"2811"
"237",2141,"Brazil",1949,5,"2932"
"238",2142,"Brazil",1950,5,"3030"
"239",2143,"Brazil",1951,5,"3074"
"240",2144,"Brazil",1952,5,"3191"
"241",2145,"Brazil",1953,5,"3228"
"242",2146,"Brazil",1954,5,"3366"
"243",2147,"Brazil",1955,5,"3543"
"244",2148,"Brazil",1956,5,"3521"
"245",2149,"Brazil",1957,5,"3668"
"246",2150,"Brazil",1958,6,"3935"
"247",2151,"Brazil",1959,6,"4184"
"248",2152,"Brazil",1960,6,"4433"
"249",2153,"Brazil",1961,5,"4663"
"250",2154,"Brazil",1962,5,"4823"
"251",2155,"Brazil",1963,3,"4697"
"252",2156,"Brazil",1964,-3,"4707"
"253",2157,"Brazil",1965,-9,"4671"
"254",2158,"Brazil",1966,-9,"4836"
"255",2159,"Brazil",1967,-9,"4888"
"256",2160,"Brazil",1968,-9,"5215"
"257",2161,"Brazil",1969,-9,"5550"
"258",2162,"Brazil",1970,-9,"5930"
"259",2163,"Brazil",1971,-9,"6463"
"260",2164,"Brazil",1972,-9,"7082"
"261",2165,"Brazil",1973,-9,"7904"
"262",2166,"Brazil",1974,-4,"8362"
"263",2167,"Brazil",1975,-4,"8595"
"264",2168,"Brazil",1976,-4,"9274"
"265",2169,"Brazil",1977,-4,"9512"
"266",2170,"Brazil",1978,-4,"9759"
"267",2171,"Brazil",1979,-4,"10187"
"268",2172,"Brazil",1980,-4,"10922"
"269",2173,"Brazil",1981,-4,"10224"
"270",2174,"Brazil",1982,-3,"10094"
"271",2175,"Brazil",1983,-3,"9590"
"272",2176,"Brazil",1984,-3,"9913"
"273",2177,"Brazil",1985,7,"10495"
"274",2178,"Brazil",1986,7,"11079"
"275",2179,"Brazil",1987,7,"11267"
"276",2180,"Brazil",1988,8,"11062"
"277",2181,"Brazil",1989,8,"11226"
"278",2182,"Brazil",1990,8,"10331"
"279",2183,"Brazil",1991,8,"10315"
"280",2184,"Brazil",1992,8,"10104"
"281",2185,"Brazil",1993,8,"10413"
"282",2186,"Brazil",1994,8,"10802"
"283",2187,"Brazil",1995,8,"11108"
"284",2188,"Brazil",1996,8,"11178"
"285",2189,"Brazil",1997,8,"11382"
"286",2190,"Brazil",1998,8,"11250"
"287",2191,"Brazil",1999,8,"11139"
"288",2192,"Brazil",2000,8,"11461"
"289",2193,"Brazil",2001,8,"11446"
"290",2194,"Brazil",2002,8,"11638"
"291",2195,"Brazil",2003,8,"11627"
"292",2196,"Brazil",2004,8,"12135"
"293",2197,"Brazil",2005,8,"12373"
"294",2198,"Brazil",2006,8,"12732"
"295",2199,"Brazil",2007,8,"13364"
"296",2200,"Brazil",2008,8,"13906"
"297",2201,"Brazil",2009,8,"13749"
"298",2202,"Brazil",2010,8,"14660"
"299",2203,"Brazil",2011,8,"15101"
"300",2550,"Canada",1867,4,"2686"
"301",2551,"Canada",1868,4,"2728"
"302",2552,"Canada",1869,4,"2771"
"303",2553,"Canada",1870,4,"2815"
"304",2554,"Canada",1871,4,"2915"
"305",2555,"Canada",1872,4,"2834"
"306",2556,"Canada",1873,4,"3061"
"307",2557,"Canada",1874,4,"3081"
"308",2558,"Canada",1875,4,"2966"
"309",2559,"Canada",1876,4,"2728"
"310",2560,"Canada",1877,4,"2873"
"311",2561,"Canada",1878,4,"2723"
"312",2562,"Canada",1879,4,"2936"
"313",2563,"Canada",1880,4,"3021"
"314",2564,"Canada",1881,4,"3394"
"315",2565,"Canada",1882,4,"3510"
"316",2566,"Canada",1883,4,"3479"
"317",2567,"Canada",1884,4,"3714"
"318",2568,"Canada",1885,4,"3451"
"319",2569,"Canada",1886,4,"3456"
"320",2570,"Canada",1887,4,"3530"
"321",2571,"Canada",1888,9,"3746"
"322",2572,"Canada",1889,9,"3730"
"323",2573,"Canada",1890,9,"3963"
"324",2574,"Canada",1891,9,"4014"
"325",2575,"Canada",1892,9,"3951"
"326",2576,"Canada",1893,9,"3890"
"327",2577,"Canada",1894,9,"4035"
"328",2578,"Canada",1895,9,"3953"
"329",2579,"Canada",1896,9,"3816"
"330",2580,"Canada",1897,9,"4189"
"331",2581,"Canada",1898,9,"4309"
"332",2582,"Canada",1899,9,"4664"
"333",2583,"Canada",1900,9,"4858"
"334",2584,"Canada",1901,9,"5168"
"335",2585,"Canada",1902,9,"5560"
"336",2586,"Canada",1903,9,"5565"
"337",2587,"Canada",1904,9,"5476"
"338",2588,"Canada",1905,9,"5948"
"339",2589,"Canada",1906,9,"6423"
"340",2590,"Canada",1907,9,"6472"
"341",2591,"Canada",1908,9,"5967"
"342",2592,"Canada",1909,9,"6432"
"343",2593,"Canada",1910,9,"6794"
"344",2594,"Canada",1911,9,"7037"
"345",2595,"Canada",1912,9,"7309"
"346",2596,"Canada",1913,9,"7423"
"347",2597,"Canada",1914,9,"6717"
"348",2598,"Canada",1915,9,"7061"
"349",2599,"Canada",1916,9,"7747"
"350",2600,"Canada",1917,9,"8002"
"351",2601,"Canada",1918,9,"7399"
