"country","year","demo_score","gdp","life_expectancy"
"Australia",1901,10,"6398",50.46
"Australia",1902,10,"6372",50.98
"Australia",1903,10,"6796",51.51
"Australia",1904,10,"7161",52.04
"Australia",1905,10,"7141",52.57
"Australia",1906,10,"7518",53.1
"Australia",1907,10,"7701",53.63
"Australia",1908,10,"7830",54.16
"Australia",1909,10,"8311",54.69
"Australia",1910,10,"8695",55.22
"Australia",1911,10,"8509",55.75
"Australia",1912,10,"8491",56.28
"Australia",1913,10,"8579",56.81
"Australia",1914,10,"8353",57.34
"Australia",1915,10,"8128",57.86
"Australia",1916,10,"8089",58.39
"Australia",1917,10,"7936",58.92
"Australia",1918,10,"7613",54.8
"Australia",1919,10,"7793",59.98
"Australia",1920,10,"7867",60.51
"Australia",1921,10,"8100",61.04
"Australia",1922,10,"8345",62.89
"Australia",1923,10,"8549",61.73
"Australia",1924,10,"8913",62.53
"Australia",1925,10,"9129",63.22
"Australia",1926,10,"9155",62.94
"Australia",1927,10,"9101",62.91
"Australia",1928,10,"8944",62.96
"Australia",1929,10,"8628",63.15
"Australia",1930,10,"7714",64.96
"Australia",1931,10,"7129",65.39
"Australia",1932,10,"7469",65.69
"Australia",1933,10,"7921",65.52
"Australia",1934,10,"8272",64.88
"Australia",1935,10,"8689",65.15
"Australia",1936,10,"9010",65.27
"Australia",1937,10,"9381",65.83
"Australia",1938,10,"9607",65.87
"Australia",1939,10,"9537",65.82
"Australia",1940,10,"10057",66.26
"Australia",1941,10,"11069",66.14
"Australia",1942,10,"12236",65.88
"Australia",1943,10,"12555",66.4
"Australia",1944,10,"11997",68.03
"Australia",1945,10,"11270",68.46
"Australia",1946,10,"10744",67.97
"Australia",1947,10,"10856",68.58
"Australia",1948,10,"11349",68.5
"Australia",1949,10,"11788",69.12
"Australia",1950,10,"12073",69.01
"Australia",1951,10,"12229",68.71
"Australia",1952,10,"12084",69.11
"Australia",1953,10,"12228",69.69
"Australia",1954,10,"12694",69.84
"Australia",1955,10,"13082",70.16
"Australia",1956,10,"13217",70.03
"Australia",1957,10,"13191",70.31
"Australia",1958,10,"13545",70.86
"Australia",1959,10,"14076",70.43
"Australia",1960,10,"14346",70.87
"Australia",1961,10,"14126",71.14
"Australia",1962,10,"14742",70.91
"Australia",1963,10,"15357",70.97
"Australia",1964,10,"16098",70.63
"Australia",1965,10,"16601",70.96
"Australia",1966,10,"16756",70.79
"Australia",1967,10,"17570",71.07
"Australia",1968,10,"18261",70.7
"Australia",1969,10,"18949",71.11
"Australia",1970,10,"19719",70.78
"Australia",1971,10,"20176",71.38
"Australia",1972,10,"20385",71.9
"Australia",1973,10,"21185",72.11
"Australia",1974,10,"21383",71.86
"Australia",1975,10,"21708",72.81
"Australia",1976,10,"22372",72.84
"Australia",1977,10,"22373",73.45
"Australia",1978,10,"22763",73.84
"Australia",1979,10,"23697",74.4
"Australia",1980,10,"23872",74.56
"Australia",1981,10,"24308",74.92
"Australia",1982,10,"23884",74.7
"Australia",1983,10,"23584",75.51
"Australia",1984,10,"24934",75.98
"Australia",1985,10,"25875",75.41
"Australia",1986,10,"26057",76.08
"Australia",1987,10,"26969",76.27
"Australia",1988,10,"27757",76.3
"Australia",1989,10,"28556",76.4
"Australia",1990,10,"28604",77
"Australia",1991,10,"28122",77.4
"Australia",1992,10,"27895",77.6
"Australia",1993,10,"28732",77.9
"Australia",1994,10,"29580",78.1
"Australia",1995,10,"30359",78.3
"Australia",1996,10,"31145",78.5
"Australia",1997,10,"32013",78.8
"Australia",1998,10,"33085",79.2
"Australia",1999,10,"34346",79.4
"Australia",2000,10,"35253",79.8
"Australia",2001,10,"35452",80.1
"Australia",2002,10,"36375",80.3
"Australia",2003,10,"37035",80.6
"Australia",2004,10,"38130",80.9
"Australia",2005,10,"38840",81.2
"Australia",2006,10,"39416",81.4
"Australia",2007,10,"40643",81.5
"Australia",2008,10,"41312",81.6
"Australia",2009,10,"41170",81.8
"Australia",2010,10,"41330",82
"Australia",2011,10,"41706",82.2
"Brazil",1824,-6,"1122",32
"Brazil",1825,-6,"1124",32
"Brazil",1826,-6,"1126",31.99
"Brazil",1827,-6,"1129",31.99
"Brazil",1828,-6,"1131",31.99
"Brazil",1829,-6,"1134",31.99
"Brazil",1830,-6,"1136",31.99
"Brazil",1831,-6,"1138",31.99
"Brazil",1832,-6,"1141",31.99
"Brazil",1833,-6,"1143",31.99
"Brazil",1834,-6,"1146",31.99
"Brazil",1835,-6,"1148",31.99
"Brazil",1836,-6,"1151",31.99
"Brazil",1837,-6,"1153",31.99
"Brazil",1838,-6,"1155",31.99
"Brazil",1839,-6,"1158",31.99
"Brazil",1840,-6,"1160",31.99
"Brazil",1841,-6,"1163",31.99
"Brazil",1842,-6,"1165",31.99
"Brazil",1843,-6,"1168",31.99
"Brazil",1844,-6,"1170",31.99
"Brazil",1845,-6,"1173",31.99
"Brazil",1846,-6,"1175",31.99
"Brazil",1847,-6,"1178",31.99
"Brazil",1848,-6,"1180",31.99
"Brazil",1849,-6,"1183",31.99
"Brazil",1850,-6,"1185",31.99
"Brazil",1851,-6,"1267",31.99
"Brazil",1852,-6,"1233",31.99
"Brazil",1853,-6,"1157",31.99
"Brazil",1854,-6,"1118",31.99
"Brazil",1855,-6,"1129",31.99
"Brazil",1856,-6,"1170",31.99
"Brazil",1857,-6,"1252",31.99
"Brazil",1858,-6,"1333",31.99
"Brazil",1859,-6,"1323",31.99
"Brazil",1860,-6,"1358",31.99
"Brazil",1861,-6,"1346",31.99
"Brazil",1862,-6,"1282",31.99
"Brazil",1863,-6,"1311",31.99
"Brazil",1864,-6,"1330",31.99
"Brazil",1865,-6,"1429",31.99
"Brazil",1866,-6,"1481",31.99
"Brazil",1867,-6,"1604",31.99
"Brazil",1868,-6,"1604",31.99
"Brazil",1869,-6,"1605",31.99
"Brazil",1870,-6,"1488",31.99
"Brazil",1871,-6,"1488",31.99
"Brazil",1872,-6,"1540",31.99
"Brazil",1873,-6,"1494",31.99
"Brazil",1874,-6,"1518",31.99
"Brazil",1875,-6,"1541",31.99
"Brazil",1876,-6,"1483",31.99
"Brazil",1877,-6,"1442",31.99
"Brazil",1878,-6,"1512",31.98
"Brazil",1879,-6,"1525",31.98
"Brazil",1880,-6,"1455",31.98
"Brazil",1881,-6,"1467",31.98
"Brazil",1882,-6,"1503",31.98
"Brazil",1883,-6,"1462",31.98
"Brazil",1884,-6,"1561",31.98
"Brazil",1885,-6,"1450",31.98
"Brazil",1886,-6,"1497",31.98
"Brazil",1887,-6,"1398",31.98
"Brazil",1888,-6,"1345",31.98
"Brazil",1889,-3,"1364",31.98
"Brazil",1890,-3,"1492",31.98
"Brazil",1891,-3,"1586",31.98
"Brazil",1892,-3,"1375",31.98
"Brazil",1893,-3,"1170",31.98
"Brazil",1894,-3,"1171",31.98
"Brazil",1895,-3,"1388",31.98
"Brazil",1896,-3,"1260",31.98
"Brazil",1897,-3,"1241",31.98
"Brazil",1898,-3,"1271",31.98
"Brazil",1899,-3,"1248",31.98
"Brazil",1900,-3,"1201",31.98
"Brazil",1901,-3,"1354",31.98
"Brazil",1902,-3,"1315",31.98
"Brazil",1903,-3,"1318",31.98
"Brazil",1904,-3,"1301",31.98
"Brazil",1905,-3,"1322",31.98
"Brazil",1906,-3,"1456",31.98
"Brazil",1907,-3,"1445",31.98
"Brazil",1908,-3,"1369",31.98
"Brazil",1909,-3,"1475",31.98
"Brazil",1910,-3,"1487",31.98
"Brazil",1911,-3,"1533",31.98
"Brazil",1912,-3,"1592",31.98
"Brazil",1913,-3,"1598",31.98
"Brazil",1914,-3,"1531",31.98
"Brazil",1915,-3,"1498",31.98
"Brazil",1916,-3,"1471",31.98
"Brazil",1917,-3,"1571",31.98
"Brazil",1918,-3,"1492",26.98
"Brazil",1919,-3,"1569",31.98
"Brazil",1920,-3,"1722",31.98
"Brazil",1921,-3,"1702",31.98
"Brazil",1922,-3,"1785",31.98
"Brazil",1923,-3,"1879",31.98
"Brazil",1924,-3,"1853",31.99
"Brazil",1925,-3,"1797",31.99
"Brazil",1926,-3,"1834",31.99
"Brazil",1927,-3,"1977",31.99
"Brazil",1928,-3,"2143",32
"Brazil",1929,-3,"2099",32
"Brazil",1930,-4,"1998",32
"Brazil",1931,-5,"1870",32.46
