country,year,demo_score,gdp
Australia,1901,10,6398
Australia,1902,10,6372
Australia,1903,10,6796
Australia,1904,10,7161
Australia,1905,10,7141
Australia,1906,10,7518
Australia,1907,10,7701
Australia,1908,10,7830
Australia,1909,10,8311
Australia,1910,10,8695
Australia,1911,10,8509
Australia,1912,10,8491
Australia,1913,10,8579
Australia,1914,10,8353
Australia,1915,10,8128
Australia,1916,10,8089
Australia,1917,10,7936
Australia,1918,10,7613
Australia,1919,10,7793
Australia,1920,10,7867
Australia,1921,10,8100
Australia,1922,10,8345
Australia,1923,10,8549
Australia,1924,10,8913
Australia,1925,10,9129
Australia,1926,10,9155
Australia,1927,10,9101
Australia,1928,10,8944
Australia,1929,10,8628
Australia,1930,10,7714
Australia,1931,10,7129
Australia,1932,10,7469
Australia,1933,10,7921
Australia,1934,10,8272
Australia,1935,10,8689
Australia,1936,10,9010
Australia,1937,10,9381
Australia,1938,10,9607
Australia,1939,10,9537
Australia,1940,10,10057
Australia,1941,10,11069
Australia,1942,10,12236
Australia,1943,10,12555
Australia,1944,10,11997
Australia,1945,10,11270
Australia,1946,10,10744
Australia,1947,10,10856
Australia,1948,10,11349
Australia,1949,10,11788
Australia,1950,10,12073
Australia,1951,10,12229
Australia,1952,10,12084
Australia,1953,10,12228
Australia,1954,10,12694
Australia,1955,10,13082
Australia,1956,10,13217
Australia,1957,10,13191
Australia,1958,10,13545
Australia,1959,10,14076
Australia,1960,10,14346
Australia,1961,10,14126
Australia,1962,10,14742
Australia,1963,10,15357
Australia,1964,10,16098
Australia,1965,10,16601
Australia,1966,10,16756
Australia,1967,10,17570
Australia,1968,10,18261
Australia,1969,10,18949
Australia,1970,10,19719
Australia,1971,10,20176
Australia,1972,10,20385
Australia,1973,10,21185
Australia,1974,10,21383
Australia,1975,10,21708
Australia,1976,10,22372
Australia,1977,10,22373
Australia,1978,10,22763
Australia,1979,10,23697
Australia,1980,10,23872
Australia,1981,10,24308
Australia,1982,10,23884
Australia,1983,10,23584
Australia,1984,10,24934
Australia,1985,10,25875
Australia,1986,10,26057
Australia,1987,10,26969
Australia,1988,10,27757
Australia,1989,10,28556
Australia,1990,10,28604
Australia,1991,10,28122
Australia,1992,10,27895
Australia,1993,10,28732
Australia,1994,10,29580
Australia,1995,10,30359
Australia,1996,10,31145
Australia,1997,10,32013
Australia,1998,10,33085
Australia,1999,10,34346
Australia,2000,10,35253
Australia,2001,10,35452
Australia,2002,10,36375
Australia,2003,10,37035
Australia,2004,10,38130
Australia,2005,10,38840
Australia,2006,10,39416
Australia,2007,10,40643
Australia,2008,10,41312
Australia,2009,10,41170
Australia,2010,10,41330
Australia,2011,10,41706
Brazil,1824,-6,1122
Brazil,1825,-6,1124
Brazil,1826,-6,1126
Brazil,1827,-6,1129
Brazil,1828,-6,1131
Brazil,1829,-6,1134
Brazil,1830,-6,1136
Brazil,1831,-6,1138
Brazil,1832,-6,1141
Brazil,1833,-6,1143
Brazil,1834,-6,1146
Brazil,1835,-6,1148
Brazil,1836,-6,1151
Brazil,1837,-6,1153
Brazil,1838,-6,1155
Brazil,1839,-6,1158
Brazil,1840,-6,1160
Brazil,1841,-6,1163
Brazil,1842,-6,1165
Brazil,1843,-6,1168
Brazil,1844,-6,1170
Brazil,1845,-6,1173
Brazil,1846,-6,1175
Brazil,1847,-6,1178
Brazil,1848,-6,1180
Brazil,1849,-6,1183
Brazil,1850,-6,1185
Brazil,1851,-6,1267
Brazil,1852,-6,1233
Brazil,1853,-6,1157
Brazil,1854,-6,1118
Brazil,1855,-6,1129
Brazil,1856,-6,1170
Brazil,1857,-6,1252
Brazil,1858,-6,1333
Brazil,1859,-6,1323
Brazil,1860,-6,1358
Brazil,1861,-6,1346
Brazil,1862,-6,1282
Brazil,1863,-6,1311
Brazil,1864,-6,1330
Brazil,1865,-6,1429
Brazil,1866,-6,1481
Brazil,1867,-6,1604
Brazil,1868,-6,1604
Brazil,1869,-6,1605
Brazil,1870,-6,1488
Brazil,1871,-6,1488
Brazil,1872,-6,1540
Brazil,1873,-6,1494
Brazil,1874,-6,1518
Brazil,1875,-6,1541
Brazil,1876,-6,1483
Brazil,1877,-6,1442
Brazil,1878,-6,1512
Brazil,1879,-6,1525
Brazil,1880,-6,1455
Brazil,1881,-6,1467
Brazil,1882,-6,1503
Brazil,1883,-6,1462
Brazil,1884,-6,1561
Brazil,1885,-6,1450
Brazil,1886,-6,1497
Brazil,1887,-6,1398
Brazil,1888,-6,1345
Brazil,1889,-3,1364
Brazil,1890,-3,1492
Brazil,1891,-3,1586
Brazil,1892,-3,1375
Brazil,1893,-3,1170
Brazil,1894,-3,1171
Brazil,1895,-3,1388
Brazil,1896,-3,1260
Brazil,1897,-3,1241
Brazil,1898,-3,1271
Brazil,1899,-3,1248
Brazil,1900,-3,1201
Brazil,1901,-3,1354
Brazil,1902,-3,1315
Brazil,1903,-3,1318
Brazil,1904,-3,1301
Brazil,1905,-3,1322
Brazil,1906,-3,1456
Brazil,1907,-3,1445
Brazil,1908,-3,1369
Brazil,1909,-3,1475
Brazil,1910,-3,1487
Brazil,1911,-3,1533
Brazil,1912,-3,1592
Brazil,1913,-3,1598
Brazil,1914,-3,1531
Brazil,1915,-3,1498
Brazil,1916,-3,1471
Brazil,1917,-3,1571
Brazil,1918,-3,1492
Brazil,1919,-3,1569
Brazil,1920,-3,1722
Brazil,1921,-3,1702
Brazil,1922,-3,1785
Brazil,1923,-3,1879
Brazil,1924,-3,1853
Brazil,1925,-3,1797
Brazil,1926,-3,1834
Brazil,1927,-3,1977
Brazil,1928,-3,2143
Brazil,1929,-3,2099
Brazil,1930,-4,1998
Brazil,1931,-5,1870
Brazil,1932,-6,1896
Brazil,1933,-6,2012
Brazil,1934,-7,2133
Brazil,1935,-7,2137
Brazil,1936,-7,2330
Brazil,1937,-7,2370
Brazil,1938,-7,2407
Brazil,1939,-7,2397
Brazil,1940,-7,2308
Brazil,1941,-7,2351
Brazil,1942,-7,2214
Brazil,1943,-7,2337
Brazil,1944,-7,2451
Brazil,1945,0,2457
Brazil,1946,7,2662
Brazil,1947,5,2643
Brazil,1948,5,2811
Brazil,1949,5,2932
Brazil,1950,5,3030
Brazil,1951,5,3074
Brazil,1952,5,3191
Brazil,1953,5,3228
Brazil,1954,5,3366
Brazil,1955,5,3543
Brazil,1956,5,3521
Brazil,1957,5,3668
Brazil,1958,6,3935
Brazil,1959,6,4184
Brazil,1960,6,4433
Brazil,1961,5,4663
Brazil,1962,5,4823
Brazil,1963,3,4697
Brazil,1964,-3,4707
Brazil,1965,-9,4671
Brazil,1966,-9,4836
Brazil,1967,-9,4888
Brazil,1968,-9,5215
Brazil,1969,-9,5550
Brazil,1970,-9,5930
Brazil,1971,-9,6463
Brazil,1972,-9,7082
Brazil,1973,-9,7904
Brazil,1974,-4,8362
Brazil,1975,-4,8595
Brazil,1976,-4,9274
Brazil,1977,-4,9512
Brazil,1978,-4,9759
Brazil,1979,-4,10187
Brazil,1980,-4,10922
Brazil,1981,-4,10224
Brazil,1982,-3,10094
Brazil,1983,-3,9590
Brazil,1984,-3,9913
Brazil,1985,7,10495
Brazil,1986,7,11079
Brazil,1987,7,11267
Brazil,1988,8,11062
Brazil,1989,8,11226
Brazil,1990,8,10331
Brazil,1991,8,10315
Brazil,1992,8,10104
Brazil,1993,8,10413
