catalog_num,class_num,component,course_id,end_time,id,instructor,meeting_days,room,seats,section,start_time,subject,term,title,topic
201-DL,38110,LEC,20458,,156768,Allan Richard Drebin,,,30,12,,ACCOUNT,2017 Spring,Introduction to Financial Accounting,
202-DL,38111,LEC,20459,,156769,Ronald J Jastrzebski,,,30,14,,ACCOUNT,2017 Spring,Introduction to Managerial Accounting,
211-DL,38112,LEC,20462,,156770,Simona S Citron,,,30,16,,ACCOUNT,2017 Spring,Intermediate Accounting II,
308-DL,38113,LEC,20463,,156771,Beth Kane,,TBA ,30,12,,ACCOUNT,2017 Spring,Income Tax II,
360-DL,38114,LEC,20466,,156772,Jay I Mages,,TBA ,30,15,,ACCOUNT,2017 Spring,Auditing II,
390-DL,38115,LEC,20467,,156773,Robert Keith Minniti,,TBA ,30,12,,ACCOUNT,2017 Spring,Topics in Accounting:,
431-0,30046,LEC,5,12:00,153436,Matthew Robert Lyle,TuFr,,65,61,10:30,ACCT,2017 Spring,Managerial Accounting,
431-0,30045,LEC,5,21:00,153435,Matthew Robert Lyle,Tu,Wieboldt Hall 203,49,30,18:00,ACCT,2017 Spring,Managerial Accounting,
451-0,30048,LEC,17,12:00,153438,Clare Wang,MoTh,,48,61,10:30,ACCT,2017 Spring,Financial Reporting and Analysis,
451-0,30049,LEC,17,15:00,153439,Clare Wang,MoTh,,48,62,13:30,ACCT,2017 Spring,Financial Reporting and Analysis,
451-0,30047,LEC,17,21:00,153437,Clare Wang,Mo,Wieboldt Hall 309,40,30,18:00,ACCT,2017 Spring,Financial Reporting and Analysis,
457-5,30051,LEC,22257,21:30,153440,Mark W Finn,Tu,,65,81,18:30,ACCT,2017 Spring,Global Financial Management and Reporting,
459-5,30050,LEC,18992,21:30,153441,Mark W Finn,We,,65,81,18:30,ACCT,2017 Spring,Sustainability Reporting and Analysis,
313-CN,38052,LEC,5907,21:15,156774,Christopher Michael Bruney,Tu,TBA ,15,14,18:15,ADVT,2017 Spring,Advertising: Advanced Creative,
370-CN,38053,LEC,5919,21:15,156775,Michael Kevin Shmarak,Th,Wieboldt Hall 247,30,16,18:15,ADVT,2017 Spring,Introduction to Public Relations,
101-6,32174,SEM,1186,12:20,154907,Nitasha Tamar Sharma,TuTh,University Library 4722,13,1,11:00,AF_AM_ST,2017 Spring,First-Year Seminar,Mixed Race Memoir
211-0,32222,LEC,20272,12:20,154908,LaShonda Katrice Barnett,MoWe,Locy Hall 214,30,1,11:00,AF_AM_ST,2017 Spring,Literatures of the Black World,
213-0,32223,SEM,20273,13:50,154909,Sherwin K Bryant,TuTh,Locy Hall 301,30,1,12:30,AF_AM_ST,2017 Spring,History of the Black World,
